,clean_adm2,lat_deg,lon_deg,is_functioning,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,usage_cap,staleness_score,cluster_size,is_complex_tech,is_installed_after_2006,is_public_management,served_population,local_population,crucialness,pressure,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,total_fatalities_adm4,total_events_adm4,perc_local_served
21,BUNDIBUGYO,0.6933805852736842,30.04466347894737,0.8410526315789474,1.8267732784004211,15.025274400421054,8.494237191021053,27.245971085263157,5.967127831778948,248.73684210526315,25.991282205263158,2.634736842105263,0.029473684210526315,0.33789473684210525,0.8010526315789473,533.5547368421053,1690.157894736842,0.3219701625283158,2.908286290947369,81.29808453037289,81.69188396103772,26.770501186589552,38.7879395655082,43.59905450917255,92.95540670003507,14.561716548122872,13.209431266844808,13.335229772524622,80.07178779824152,39.72184976579481,2.6012711758037024,95.63111987518147,41.10445329978745,2.271191357679873,1.5425889560044745,81.02390826852933,5.304727977562082,20.92636187424601,76.2800424173936,7.488201982728963,12.05201372249359,0.5715789473684211,0.19263157894736843,31.918777427252667
22,BUNYANGABU,0.5051564375133214,30.193313362344583,0.7815275310834814,3.044390610872469,5.371268603271048,2.0049906521520957,19.66371970159858,27.100250401420958,236.50088809946715,24.99689476731794,1.0959147424511546,0.06394316163410302,0.2877442273534636,0.9076376554174067,287.96358792184725,1078.4964476021314,0.2552163217072824,1.7271640030053288,74.70769581812952,84.39741784443653,29.166510968345012,26.507191245625293,22.52982744591271,90.89076225417105,12.09071222712232,7.119691956646734,9.706440071997122,84.66520407044649,37.8482502956167,3.4807020947624725,95.48379402574241,24.159554060220387,16.106551672056224,2.5056336634512735,82.95891869735283,4.574312402735119,17.54957989969371,82.0852364155693,5.820178563074932,10.162048470863487,0.9662522202486679,0.4991119005328597,24.412930235058575
23,BUSHENYI,-0.5358861120779221,30.158789317254175,0.8404452690166976,4.362843655166976,3.6026122464276438,2.3538142127859,55.72425350463822,6.320007201205937,225.139146567718,26.845058081632654,1.0037105751391466,0.03710575139146568,0.3562152133580705,0.8571428571428571,105.19109461966605,583.795918367347,0.18506589454564007,0.5949628944285714,76.63214942011611,88.81399173358605,44.0606753873036,19.001070262969787,31.632522422523245,90.83610021605777,9.588202149085332,3.9604096186807407,7.573808454576966,74.39065682904955,48.564848965445904,1.3994116365452294,95.47916975043391,18.672020491101446,7.070330886420117,0.5750835333440648,77.76338751907069,14.291201117714143,40.6482962684264,67.9866913712669,7.9016843618254144,23.02048187997612,0.0,0.0,15.49071659640471
24,BUSIA,0.4299202336763609,34.02158057941834,0.912751677852349,8.771283876206562,4.318131274068457,2.271904071129456,12.256921696901566,10.300663213318419,277.36763609246833,33.98730361073825,1.3124533929903057,0.6241610738255033,0.1610738255033557,0.5070842654735273,57.598806860551825,647.826994780015,0.11183507950567038,0.22870022375480983,78.30787601612538,88.2219981713834,31.806753963452117,34.563764121943,28.48438737149733,92.51968804016293,11.681512193379383,5.400060710350489,7.605702366607603,75.63196004998231,32.735836312358046,45.77719272596675,94.9837849087909,4.614213320308727,57.47259394818592,10.666618838816827,87.92394172704768,7.080699185186937,14.14879739649703,80.60596409481586,5.513796180353962,6.784302736873003,0.13273676360924683,0.9254287844891872,10.999605339357018
25,BUTALEJA,0.8911358409875,33.9508152575,0.415,13.139129956500001,4.948338959365125,4.024576467347376,31.081899735375,7.6613091363,298.3125,33.4457343825,1.235,0.9775,0.2525,0.48875,363.2925,872.228125,0.42441421630375,1.224020413148,83.59769644291329,88.18655084603779,29.319820878150196,41.6472442697433,20.926472397571896,95.34690107225047,16.697358090300956,7.35166810524892,7.3718343784329905,84.43699303876778,22.651094092011157,25.327010580197495,96.7452616914157,1.5688176272654564,87.4782048280074,12.343542567023107,91.85135339195945,3.899883960562077,7.796762932360423,91.6271541532121,4.831440831447448,5.002918258918665,1.165,1.19125,42.350377383555596
26,BUTAMBALA,0.18872412807162534,32.133584159779616,0.8319559228650137,21.400333782093664,1.6604624061104685,4.527994982070523,14.645814751790635,16.00812725509642,246.96969696969697,25.36691291184573,1.0413223140495869,0.13774104683195593,0.2369146005509642,0.8650137741046832,132.03443526170798,641.5771349862259,0.22148077479201103,0.5979540862947659,69.70408403985772,87.85101128251627,43.94542947389432,17.475979337127196,21.701738249060572,91.79293684182163,5.949295301297906,5.265933530481956,6.403865315459767,68.86583719446807,46.64897004792063,1.04859368736887,89.69870318207235,10.52284665770373,21.88460348168505,1.3615697292077429,70.31193754317545,12.391647245709033,10.987813207030738,76.81039899511046,11.15350334263064,19.62227687437787,0.0,0.0,21.955003286637844
27,BUTEBO,1.175835142835131,33.99382333436055,0.9137134052388289,12.49761678027735,6.6148843394453,1.1298163226822806,23.578262686286596,12.200799926656394,269.7226502311248,34.535823077041606,1.5454545454545454,0.48073959938366717,0.19106317411402157,0.48536209553158705,39.37442218798151,551.6764252696456,0.08804401541679506,0.1522203387359014,82.77648995759887,84.652441700634,32.25325506870804,39.51534819369539,28.351123009748942,95.66206749320865,10.838556835010316,8.614807700038256,9.793087680423497,72.21631916155008,23.832090432686773,22.66542005283592,96.76066664754862,1.9200312397275883,50.522118203375705,5.266215612212428,94.23436004843703,3.496761826537362,8.705171599754502,91.64064927273485,5.239411194184964,4.635947317511937,0.14791987673343607,0.29583975346687214,8.669736939802476
28,BUVUMA,0.1944390438961039,33.27133951948052,0.8311688311688312,53.319919012987015,23.28935538961039,4.5823241325324675,28.380585675324674,37.537190792207795,235.71428571428572,26.445221896103895,1.155844155844156,0.2597402597402597,0.24675324675324675,0.974025974025974,669.5454545454545,912.6948051948052,0.8587838988311689,3.7423852875324672,81.81853208641391,79.35115170561227,21.755646175152112,38.92947171965092,14.132134724228624,94.23860258584979,16.353250367524797,10.08021635413408,12.047426434750374,84.77598021470011,38.20838768808826,31.09596687329622,88.6733632770754,1.3046710263910704,38.33953155884694,40.320581343230515,68.76931898893217,2.9456978677910204,8.827009060457463,66.57431717228366,7.373051029705142,7.090568611821374,0.0,0.15584415584415584,77.14270148931759
29,BUYENDE,1.208644232562929,33.180711320366136,0.9084668192219679,57.75184451029748,9.281205902681922,1.7258428157601833,73.53619273913043,17.95018762501144,286.38443935926773,25.9262476819222,1.032036613272311,0.919908466819222,0.2837528604118993,0.9977116704805492,451.6384439359268,912.37528604119,0.5309784334050344,1.6926254780778032,81.72092266168153,81.1959832900381,24.05663895883256,45.620665278279645,24.07720597792886,94.59527449679588,16.019526027924012,8.702164981529553,12.40602840662238,84.45968941108822,26.531240739959596,33.9390455383579,95.42794119205698,1.501734381798328,83.8766688787528,8.776238618980157,87.56164688113688,1.6729237793481408,6.520660301372357,88.17861170302328,4.92542352785211,7.738200328313603,0.5308924485125858,1.482837528604119,53.091821040305845
30,DOKOLO,1.9514995972803346,33.11060160041841,0.797071129707113,9.177018310075313,3.346354207374883,1.2767848575495815,42.1521749665272,13.96576446317364,262.7615062761506,25.30408887656904,1.098326359832636,0.48535564853556484,0.4121338912133891,0.9623430962343096,251.4581589958159,575.9508368200837,0.4439123667803347,1.014608788284519,77.93421626187197,78.23907450840134,24.566186186523005,32.42727553427378,37.62930328721601,90.53533823152533,18.201469552062306,4.802745066528391,7.120877438437256,93.9614011722245,21.424996125297238,63.69298651351499,98.10802342827013,3.406759532010522,60.0775100106013,9.667804744756884,94.21642417000729,1.629624261886666,12.51127476076832,91.33226107508719,4.095240597058513,6.539157995295494,0.09832635983263599,0.3807531380753138,44.03349479041028
