,clean_adm4,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_pop_5km_dist_primary,perc_pop_5km_dist_secondary,perc_pop_5km_dist_health,perc_pop_5km_dist_police,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,tot_pop_subcounty
45,Alebtong Town Council,78.41190689346463,76.89698597433602,28.739242017308264,26.963533273649656,39.179349447925986,88.26977021784542,22.42005371530886,4.659952253058788,3.7577439570277527,80.13739182333632,25.386093703372126,64.88116980005968,3.9272455983288572,82.93601909877648,5.538734706057893,15.439480752014322,98.61128021486124,6.0655625186511495,20.33160250671441,6.988481050432706,84.81166815875858,2.9546702476872575,21.19018203521337,81.85270068636228,11.364428528797372,5.752790211877051,6702.0
46,Aleka,76.20702686243996,74.41677380066311,20.25684417078287,37.442205155964544,38.97062047499831,90.18636240611679,18.506380675282493,15.924132214628866,11.91254482711956,76.64608904526693,22.563637593883215,68.9821774138981,21.03484335881995,89.40188104743217,50.819182623993505,67.57571554232356,96.35394816970026,1.9946714933351377,33.441514987482236,6.961117125651262,96.76776168888287,0.9679748291494688,7.4837641247716356,95.21879017524867,12.946640503417012,8.61930441843156,29558.0
47,Alerek,79.09266582365788,66.91836417979079,27.275801816300724,44.91176572019772,21.92604897114611,84.2602425566157,18.56420278192896,1.8826876652488793,3.4190194275204044,91.98769398781468,23.146309920680537,76.95979422922176,28.844482124382115,88.9587768709047,37.22304287849178,30.578123922289915,97.43636050120703,9.585130474767213,89.04355673065871,33.40424186688125,92.35093688929761,1.5653523393493507,25.060892056558224,88.65665018967697,60.3023336015634,4.061219680423037,17398.0
48,Alero,77.29078428089646,78.37711019158554,19.962481762299984,38.801234184027365,20.2101963692028,90.08755052739842,16.846049893563585,10.748393886483772,11.047482599440311,82.70369059293454,21.176392642732424,88.92940515200077,35.086871247817456,79.37732067258246,58.48555813341625,78.3044416274008,85.49067664856848,2.0982204788442678,13.751598938027696,28.218024827190316,96.765251500873,1.0818484058456312,32.72372216508407,94.73175632040949,22.82358343897247,3.448092515965462,41809.0
49,Aliba,77.1050417120058,76.44333212428968,20.88950550114859,46.04088381090558,64.59582879941966,92.17884173618668,8.481586265264177,4.243453028654335,6.254896626768226,90.2926066981018,25.078714786603797,68.04446862531738,6.325770765324628,44.07905936404305,15.040877765687341,20.757024543586024,97.1411498005078,1.5517470680691572,92.92060814895417,4.324350139040019,95.60032644178455,0.6020311933260791,14.669828315802201,96.4774271551203,13.456347479143997,4.855440696409141,16542.0
50,Alito,78.78668855964564,74.36123669874243,19.182857288325444,31.047451759075404,24.643981976477775,90.5547248103457,22.687123873529863,9.546143271727509,6.578514332264142,76.1088590193982,17.765943689221526,69.49411435262971,14.993737589735757,65.36296522580317,59.90901939819765,56.54907336693651,97.18167608573901,6.395343923425488,30.663011048317294,13.381546255282318,97.50096736418716,2.357647268469019,8.697691054426963,94.35874955450333,12.865994603126115,5.763846036352528,39282.0
51,Aloi,74.59929662313981,72.03381744765377,24.04276270800091,36.6327884333583,35.56551825197825,88.3323195154515,15.682737959555832,5.276811358233743,5.271871438340551,87.20747337913966,18.00956397147416,70.24931778957308,12.698248070598195,68.1888176104725,78.56444364844182,54.02066495164284,96.68983034289622,6.123540330196359,31.758419355889156,11.604650102575793,96.61265752710932,1.273717802598587,10.107518968380607,92.68524536780748,12.864528314174999,4.730489433065225,30709.0
52,Alwa,76.40659180524601,84.24487827875879,27.000484313389336,27.731188925081433,11.861134921995543,91.34993571061204,20.683207611863534,6.29604834561975,7.650085719183954,75.42695868335333,23.28518343905366,75.4529401680096,13.177228698782788,91.87204268815361,56.986606377507286,53.19424824275672,96.01741385222013,2.5381236070632607,76.69010372021258,10.759146236927824,97.19804560260586,1.5553574489970856,11.454928853077318,94.7564417966741,3.484990570889765,5.643751071489799,23332.0
53,Alwi,76.88315535841411,79.40674114232516,20.161360275998028,38.66551119872953,32.29842286840808,92.32470291878867,23.38173155906029,12.449789168172607,12.811346585619628,90.69895405509008,24.167597612398005,69.96968950221785,18.565691911724443,98.85910410163737,53.68345654673895,67.79881167515471,97.742297793111,0.4952521767701659,46.209939214719896,14.830195498603581,95.11854224850775,1.117359399813811,9.945720387711516,92.33716116313455,11.804999726192431,4.4761185039154485,18261.0
54,Amach,76.84975302969387,69.38979955200735,19.114964677502726,34.02592901039573,35.92908506116822,89.78328355637241,19.552096375854344,6.692679914996266,7.95470392280742,88.03682154959509,22.787708919648498,57.99091666188042,10.017422893573029,73.842524840618,60.62065648153466,37.22845614841192,97.610794899776,1.3957210958589397,42.22803112974556,9.201395669404398,95.25014645913502,1.5601171673080236,7.474111194072712,92.30099362472001,5.64148813968181,5.558879444029636,34822.0
